# filename,threshold,total,tp,tn,fp,fn,sig,fmeas,prec,reca
data/deid_t2_mr-m1-r2.txt,0.3,170200,6497,115678,42874,5151,unknown,0.2130,0.1316,0.5578
data/deid_t2_mr-m1-r3.txt,0.3,170200,6992,113415,45137,4656,unknown,0.2193,0.1341,0.6003
data/deid_t2_mr-m1-r4.txt,0.3,170200,7311,111864,46688,4337,unknown,0.2227,0.1354,0.6277
data/deid_t2_mr-m1-r5.txt,0.3,170200,7419,110706,47846,4229,unknown,0.2218,0.1342,0.6369
data/deid_t2_mr-m1-r6.txt,0.3,170200,7529,109646,48906,4119,unknown,0.2212,0.1334,0.6464
data/deid_t2_mr-m1-r7.txt,0.3,170200,7533,108896,49656,4115,unknown,0.2189,0.1317,0.6467
data/deid_t2_mr-m1-r8.txt,0.3,170200,7576,108116,50436,4072,unknown,0.2175,0.1306,0.6504
data/deid_t2_mr-m1-r9.txt,0.3,170200,7679,107381,51171,3969,unknown,0.2179,0.1305,0.6593
data/deid_t2_mr-m2-r2.txt,0.3,170200,6497,115678,42874,5151,unknown,0.2130,0.1316,0.5578
data/deid_t2_mr-m2-r3.txt,0.3,170200,6992,113415,45137,4656,unknown,0.2193,0.1341,0.6003
data/deid_t2_mr-m2-r4.txt,0.3,170200,7311,111864,46688,4337,unknown,0.2227,0.1354,0.6277
data/deid_t2_mr-m2-r5.txt,0.3,170200,7419,110706,47846,4229,unknown,0.2218,0.1342,0.6369
data/deid_t2_mr-m2-r6.txt,0.3,170200,7529,109645,48907,4119,unknown,0.2212,0.1334,0.6464
data/deid_t2_mr-m2-r7.txt,0.3,170200,7533,108895,49657,4115,unknown,0.2189,0.1317,0.6467
data/deid_t2_mr-m2-r8.txt,0.3,170200,7576,108115,50437,4072,unknown,0.2175,0.1306,0.6504
data/deid_t2_mr-m2-r9.txt,0.3,170200,7679,107380,51172,3969,unknown,0.2178,0.1305,0.6593
data/deid_t2_mr-m3-r2.txt,0.3,170200,6510,115671,42881,5138,unknown,0.2133,0.1318,0.5589
data/deid_t2_mr-m3-r3.txt,0.3,170200,7003,113400,45152,4645,unknown,0.2195,0.1343,0.6012
data/deid_t2_mr-m3-r4.txt,0.3,170200,7325,111842,46710,4323,unknown,0.2230,0.1356,0.6289
data/deid_t2_mr-m3-r5.txt,0.3,170200,7440,110675,47877,4208,unknown,0.2222,0.1345,0.6387
data/deid_t2_mr-m3-r6.txt,0.3,170200,7552,109610,48942,4096,unknown,0.2217,0.1337,0.6484
data/deid_t2_mr-m3-r7.txt,0.3,170200,7571,108860,49692,4077,unknown,0.2197,0.1322,0.6500
data/deid_t2_mr-m3-r8.txt,0.3,170200,7632,108058,50494,4016,unknown,0.2188,0.1313,0.6552
data/deid_t2_mr-m3-r9.txt,0.3,170200,7745,107301,51251,3903,unknown,0.2193,0.1313,0.6649
data/deid_t2_mr-m4-r2.txt,0.3,170200,6645,115557,42995,5003,unknown,0.2168,0.1339,0.5705
data/deid_t2_mr-m4-r3.txt,0.3,170200,7257,113163,45389,4391,unknown,0.2257,0.1378,0.6230
data/deid_t2_mr-m4-r4.txt,0.3,170200,7723,111476,47076,3925,unknown,0.2325,0.1409,0.6630
data/deid_t2_mr-m4-r5.txt,0.3,170200,7927,110196,48356,3721,unknown,0.2334,0.1408,0.6805
data/deid_t2_mr-m4-r6.txt,0.3,170200,8112,109026,49526,3536,unknown,0.2342,0.1407,0.6964
data/deid_t2_mr-m4-r7.txt,0.3,170200,8190,108187,50365,3458,unknown,0.2333,0.1399,0.7031
data/deid_t2_mr-m4-r8.txt,0.3,170200,8252,107288,51264,3396,unknown,0.2319,0.1387,0.7084
data/deid_t2_mr-m4-r9.txt,0.3,170200,8355,106452,52100,3293,unknown,0.2318,0.1382,0.7173
data/deid_t2_mr-m5-r2.txt,0.3,170200,6999,115122,43430,4649,unknown,0.2255,0.1388,0.6009
data/deid_t2_mr-m5-r3.txt,0.3,170200,7676,112363,46189,3972,unknown,0.2343,0.1425,0.6590
data/deid_t2_mr-m5-r4.txt,0.3,170200,8119,110328,48224,3529,unknown,0.2388,0.1441,0.6970
data/deid_t2_mr-m5-r5.txt,0.3,170200,8373,108808,49744,3275,unknown,0.2400,0.1441,0.7188
data/deid_t2_mr-m5-r6.txt,0.3,170200,8575,107422,51130,3073,unknown,0.2404,0.1436,0.7362
data/deid_t2_mr-m5-r7.txt,0.3,170200,8715,106249,52303,2933,unknown,0.2399,0.1428,0.7482
data/deid_t2_mr-m5-r8.txt,0.3,170200,8806,105150,53402,2842,unknown,0.2385,0.1416,0.7560
data/deid_t2_mr-m5-r9.txt,0.3,170200,8977,104087,54465,2671,unknown,0.2391,0.1415,0.7707
data/deid_t2_mr-m6-r2.txt,0.3,170200,7291,114154,44398,4357,unknown,0.2302,0.1411,0.6259
data/deid_t2_mr-m6-r3.txt,0.3,170200,8155,110586,47966,3493,unknown,0.2407,0.1453,0.7001
data/deid_t2_mr-m6-r4.txt,0.3,170200,8699,108165,50387,2949,unknown,0.2460,0.1472,0.7468
data/deid_t2_mr-m6-r5.txt,0.3,170200,8997,106358,52194,2651,unknown,0.2470,0.1470,0.7724
data/deid_t2_mr-m6-r6.txt,0.3,170200,9213,104670,53882,2435,unknown,0.2465,0.1460,0.7910
data/deid_t2_mr-m6-r7.txt,0.3,170200,9393,103176,55376,2255,unknown,0.2458,0.1450,0.8064
data/deid_t2_mr-m6-r8.txt,0.3,170200,9541,101781,56771,2107,unknown,0.2448,0.1439,0.8191
data/deid_t2_mr-m6-r9.txt,0.3,170200,9748,100568,57984,1900,unknown,0.2456,0.1439,0.8369
data/deid_t2_mr-m7-r2.txt,0.3,170200,7676,112852,45700,3972,unknown,0.2361,0.1438,0.6590
data/deid_t2_mr-m7-r3.txt,0.3,170200,8594,108635,49917,3054,unknown,0.2450,0.1469,0.7378
data/deid_t2_mr-m7-r4.txt,0.3,170200,9120,105697,52855,2528,unknown,0.2477,0.1472,0.7830
data/deid_t2_mr-m7-r5.txt,0.3,170200,9456,103495,55057,2192,unknown,0.2483,0.1466,0.8118
data/deid_t2_mr-m7-r6.txt,0.3,170200,9757,101439,57113,1891,unknown,0.2485,0.1459,0.8377
data/deid_t2_mr-m7-r7.txt,0.3,170200,9923,99640,58912,1725,unknown,0.2466,0.1442,0.8519
data/deid_t2_mr-m7-r8.txt,0.3,170200,10053,98017,60535,1595,unknown,0.2445,0.1424,0.8631
data/deid_t2_mr-m7-r9.txt,0.3,170200,10201,96541,62011,1447,unknown,0.2433,0.1413,0.8758
data/deid_t2_mr-m8-r2.txt,0.3,170200,7880,111110,47442,3768,unknown,0.2353,0.1424,0.6765
data/deid_t2_mr-m8-r3.txt,0.3,170200,8876,106143,52409,2772,unknown,0.2434,0.1448,0.7620
data/deid_t2_mr-m8-r4.txt,0.3,170200,9408,102767,55785,2240,unknown,0.2449,0.1443,0.8077
data/deid_t2_mr-m8-r5.txt,0.3,170200,9760,100175,58377,1888,unknown,0.2447,0.1432,0.8379
data/deid_t2_mr-m8-r6.txt,0.3,170200,10021,97900,60652,1627,unknown,0.2435,0.1418,0.8603
data/deid_t2_mr-m8-r7.txt,0.3,170200,10214,95729,62823,1434,unknown,0.2412,0.1398,0.8769
data/deid_t2_mr-m8-r8.txt,0.3,170200,10333,93853,64699,1315,unknown,0.2384,0.1377,0.8871
data/deid_t2_mr-m8-r9.txt,0.3,170200,10458,92188,66364,1190,unknown,0.2364,0.1361,0.8978
data/deid_t2_mr-m9-r2.txt,0.3,170200,8157,109172,49380,3491,unknown,0.2358,0.1418,0.7003
data/deid_t2_mr-m9-r3.txt,0.3,170200,9140,103193,55359,2508,unknown,0.2401,0.1417,0.7847
data/deid_t2_mr-m9-r4.txt,0.3,170200,9752,99216,59336,1896,unknown,0.2416,0.1412,0.8372
data/deid_t2_mr-m9-r5.txt,0.3,170200,10124,96042,62510,1524,unknown,0.2402,0.1394,0.8692
data/deid_t2_mr-m9-r6.txt,0.3,170200,10401,93466,65086,1247,unknown,0.2387,0.1378,0.8929
data/deid_t2_mr-m9-r7.txt,0.3,170200,10614,91018,67534,1034,unknown,0.2364,0.1358,0.9112
data/deid_t2_mr-m9-r8.txt,0.3,170200,10736,88985,69567,912,unknown,0.2335,0.1337,0.9217
data/deid_t2_mr-m9-r9.txt,0.3,170200,10843,86960,71592,805,unknown,0.2305,0.1315,0.9309
data/deid_t2_mr-m1-r10.txt,0.3,170200,7685,106609,51943,3963,unknown,0.2156,0.1289,0.6598
data/deid_t2_mr-m1-r11.txt,0.3,170200,7774,106160,52392,3874,unknown,0.2165,0.1292,0.6674
data/deid_t2_mr-m1-r12.txt,0.3,0,0,0,0,0,unknown,nan,nan,nan
data/deid_t2_mr-m1-r13.txt,0.3,170200,7857,105230,53322,3791,unknown,0.2158,0.1284,0.6745
data/deid_t2_mr-m1-r14.txt,0.3,170200,7883,104708,53844,3765,unknown,0.2149,0.1277,0.6768
