# filename,threshold,total,tp,tn,fp,fn,sig,fmeas,prec,reca
data/deid_t2_mr-w-r1.txt,0.3,170200,2069,104650,53902,9579,unknown,0.0612,0.0370,0.1776
data/deid_t2_mr-w-r2.txt,0.3,170200,5581,99598,58954,6067,unknown,0.1465,0.0865,0.4791
data/deid_t2_mr-w-r3.txt,0.3,170200,7019,96340,62212,4629,unknown,0.1736,0.1014,0.6026
data/deid_t2_mr-w-r4.txt,0.3,170200,7878,94034,64518,3770,unknown,0.1875,0.1088,0.6763
data/deid_t2_mr-w-r5.txt,0.3,170200,8484,91964,66588,3164,unknown,0.1957,0.1130,0.7284
data/deid_t2_mr-w-r6.txt,0.3,170200,8912,90232,68320,2736,unknown,0.2005,0.1154,0.7651
data/deid_t2_mr-w-r7.txt,0.3,170200,9340,88506,70046,2308,unknown,0.2052,0.1177,0.8019
data/deid_t2_mr-w-r8.txt,0.3,170200,9583,87125,71427,2065,unknown,0.2068,0.1183,0.8227
data/deid_t2_mr-w-r9.txt,0.3,170200,9847,85933,72619,1801,unknown,0.2093,0.1194,0.8454
data/deid_t2_mr-w-r10.txt,0.3,170200,10094,84569,73983,1554,unknown,0.2109,0.1201,0.8666
data/deid_t2_mr-w-r11.txt,0.3,170200,10260,83375,75177,1388,unknown,0.2114,0.1201,0.8808
data/deid_t2_mr-w-r12.txt,0.3,170200,10418,82389,76163,1230,unknown,0.2121,0.1203,0.8944
data/deid_t2_mr-w-r13.txt,0.3,170200,10546,81521,77031,1102,unknown,0.2126,0.1204,0.9054
data/deid_t2_mr-w-r14.txt,0.3,170200,10691,80743,77809,957,unknown,0.2135,0.1208,0.9178
data/deid_t2_mr-w-r15.txt,0.3,170200,10793,79837,78715,855,unknown,0.2134,0.1206,0.9266
data/deid_t2_mr-w-r16.txt,0.3,170200,10835,79144,79408,813,unknown,0.2127,0.1201,0.9302
data/deid_t2_mr-w-r17.txt,0.3,170200,10848,78389,80163,800,unknown,0.2113,0.1192,0.9313
data/deid_t2_mr-w-r18.txt,0.3,170200,10900,77608,80944,748,unknown,0.2106,0.1187,0.9358
